gene id,cluster,symbol,name,level,rank
491,C1,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",E2,1
2775,C1,GNAO1,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O",-,3
4916,C1,NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",E3,4
6854,C1,SYN2,synapsin II,-,7
1268,C1,CNR1,cannabinoid receptor 1 (brain),E3,10
816,C1,CAMK2B,calcium/calmodulin-dependent protein kinase II beta,E3,11
1804,C1,DPP6,dipeptidyl-peptidase 6,E4,12
23544,C1,SEZ6L,seizure related 6 homolog (mouse)-like,-,26
4137,C1,MAPT,microtubule-associated protein tau,E3,31
51412,C1,ACTL6B,actin-like 6B,-,32
6585,C1,SLIT1,slit homolog 1 (Drosophila),-,33
57030,C1,SLC17A7,"solute carrier family 17 (vesicular glutamate transporter), member 7",-,35
9568,C1,GABBR2,"gamma-aminobutyric acid (GABA) B receptor, 2",E4,41
8927,C1,BSN,bassoon presynaptic cytomatrix protein,-,43
9118,C1,INA,"internexin neuronal intermediate filament protein, alpha",-,48
2892,C1,GRIA3,"glutamate receptor, ionotropic, AMPA 3",E3,52
2903,C1,GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",E3,56
4130,C1,MAP1A,microtubule-associated protein 1A,-,60
4761,C1,NEUROD2,neuronal differentiation 2,-,68
7781,C1,SLC30A3,"solute carrier family 30 (zinc transporter), member 3",-,70
6506,C1,SLC1A2,"solute carrier family 1 (glial high affinity glutamate transporter), member 2",-,71
11122,C1,PTPRT,"protein tyrosine phosphatase, receptor type, T",-,75
63876,C1,PKNOX2,PBX/knotted 1 homeobox 2,-,86
8120,C1,AP3B2,"adaptor-related protein complex 3, beta 2 subunit",-,89
4355,C1,MPP2,"membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)",-,92
4745,C1,NELL1,NEL-like 1 (chicken),-,100
108,C1,ADCY2,adenylate cyclase 2 (brain),-,102
40,C1,ASIC2,acid-sensing (proton-gated) ion channel 2,E3,105
51440,C1,HPCAL4,hippocalcin like 4,-,112
3785,C1,KCNQ2,"potassium voltage-gated channel, KQT-like subfamily, member 2",-,116
2554,C1,GABRA1,"gamma-aminobutyric acid (GABA) A receptor, alpha 1",E3,121
2890,C1,GRIA1,"glutamate receptor, ionotropic, AMPA 1",-,122
4747,C1,NEFL,"neurofilament, light polypeptide",-,123
4978,C1,OPCML,opioid binding protein/cell adhesion molecule-like,-,124
6657,C1,SOX2,SRY (sex determining region Y)-box 2,-,125
1400,C1,CRMP1,collapsin response mediator protein 1,-,126
1006,C1,CDH8,"cadherin 8, type 2",E4,132
23017,C1,FAIM2,Fas apoptotic inhibitory molecule 2,-,133
26047,C1,CNTNAP2,contactin associated protein-like 2,E1,134
576,C1,BAI2,brain-specific angiogenesis inhibitor 2,-,137
3745,C1,KCNB1,"potassium voltage-gated channel, Shab-related subfamily, member 1",-,145
8913,C1,CACNA1G,"calcium channel, voltage-dependent, T type, alpha 1G subunit",E3,149
5126,C1,PCSK2,proprotein convertase subtilisin/kexin type 2,-,153
5581,C1,PRKCE,"protein kinase C, epsilon",-,156
55800,C1,SCN3B,"sodium channel, voltage-gated, type III, beta subunit",-,160
6833,C1,ABCC8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",-,161
57863,C1,CADM3,cell adhesion molecule 3,-,164
1620,C1,BRINP1,bone morphogenetic protein/retinoic acid inducible neural-specific 1,-,166
2902,C1,GRIN1,"glutamate receptor, ionotropic, N-methyl D-aspartate 1",-,167
54715,C1,RBFOX1,"RNA binding protein, fox-1 homolog (C. elegans) 1",E2,174
2257,C1,FGF12,fibroblast growth factor 12,-,181
815,C1,CAMK2A,calcium/calmodulin-dependent protein kinase II alpha,-,183
10900,C1,RUNDC3A,RUN domain containing 3A,-,184
6752,C1,SSTR2,somatostatin receptor 2,-,185
492,C1,ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3",-,190
2915,C1,GRM5,"glutamate receptor, metabotropic 5",E3,196
3761,C1,KCNJ4,"potassium inwardly-rectifying channel, subfamily J, member 4",-,197
50649,C1,ARHGEF4,Rho guanine nucleotide exchange factor (GEF) 4,-,203
785,C1,CACNB4,"calcium channel, voltage-dependent, beta 4 subunit",-,207
776,C1,CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D subunit",-,210
5923,C1,RASGRF1,Ras protein-specific guanine nucleotide-releasing factor 1,-,213
11075,C1,STMN2,stathmin-like 2,-,221
6096,C1,RORB,RAR-related orphan receptor B,-,225
57144,C1,PAK7,p21 protein (Cdc42/Rac)-activated kinase 7,-,227
55966,C1,AJAP1,adherens junctions associated protein 1,-,228
429,C1,ASCL1,achaete-scute family bHLH transcription factor 1,-,229
773,C1,CACNA1A,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",-,231
6543,C1,SLC8A2,"solute carrier family 8 (sodium/calcium exchanger), member 2",-,232
51761,C1,ATP8A2,"ATPase, aminophospholipid transporter, class I, type 8A, member 2",-,234
4741,C1,NEFM,"neurofilament, medium polypeptide",-,242
6861,C1,SYT5,synaptotagmin V,-,257
1949,C1,EFNB3,ephrin-B3,-,261
6511,C1,SLC1A6,"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6",-,268
6326,C1,SCN2A,"sodium channel, voltage-gated, type II, alpha subunit",E2,272
9699,C1,RIMS2,regulating synaptic membrane exocytosis 2,-,273
6508,C1,SLC4A3,"solute carrier family 4 (anion exchanger), member 3",-,274
23542,C1,MAPK8IP2,mitogen-activated protein kinase 8 interacting protein 2,-,275
1394,C1,CRHR1,corticotropin releasing hormone receptor 1,-,280
9900,C1,SV2A,synaptic vesicle glycoprotein 2A,-,286
